"month","day","count"
"1","01",1482
"1","02",1213
"1","03",1220
"1","04",1319
"1","05",1262
"1","06",1271
"1","07",1355
"1","08",1219
"1","09",1253
"1","10",1339
"1","11",1293
"1","12",1295
"1","13",1296
"1","14",1333
"1","15",1409
"1","16",1330
"1","17",1286
"1","18",1268
"1","19",1336
"1","20",1422
"1","21",1318
"1","22",1302
"1","23",1296
"1","24",1226
"1","25",1298
"1","26",1241
"1","27",1289
"1","28",1284
"1","29",1313
"1","30",1280
"1","31",1207
"2","01",1379
"2","02",1404
"2","03",1329
"2","04",1292
"2","05",1326
"2","06",1295
"2","07",1253
"2","08",1252
"2","09",1231
"2","10",1287
"2","11",1305
"2","12",1320
"2","13",1266
"2","14",1353
"2","15",1307
"2","16",1258
"2","17",1284
"2","18",1306
"2","19",1340
"2","20",1364
"2","21",1233
"2","22",1238
"2","23",1289
"2","24",1330
"2","25",1270
"2","26",1288
"2","27",1310
"2","28",1319
"2","29",325
"3","01",1428
"3","02",1313
"3","03",1371
"3","04",1318
"3","05",1262
"3","06",1318
"3","07",1322
"3","08",1345
"3","09",1256
"3","10",1363
"3","11",1267
"3","12",1262
"3","13",1307
"3","14",1278
"3","15",1292
"3","16",1300
"3","17",1196
"3","18",1244
"3","19",1282
"3","20",1323
"3","21",1344
"3","22",1232
"3","23",1306
"3","24",1292
"3","25",1350
"3","26",1243
"3","27",1216
"3","28",1269
"3","29",1262
"3","30",1175
"3","31",1204
"4","01",1321
"4","02",1292
"4","03",1310
"4","04",1386
"4","05",1272
"4","06",1256
"4","07",1270
"4","08",1284
"4","09",1244
"4","10",1246
"4","11",1272
"4","12",1313
"4","13",1219
"4","14",1234
"4","15",1321
"4","16",1279
"4","17",1210
"4","18",1279
"4","19",1248
"4","20",1248
"4","21",1200
"4","22",1188
"4","23",1212
"4","24",1254
"4","25",1177
"4","26",1241
"4","27",1134
"4","28",1248
"4","29",1249
"4","30",1234
"5","01",1296
"5","02",1281
"5","03",1306
"5","04",1292
"5","05",1308
"5","06",1258
"5","07",1228
"5","08",1266
"5","09",1179
"5","10",1316
"5","11",1194
"5","12",1246
"5","13",1280
"5","14",1223
"5","15",1400
"5","16",1255
"5","17",1247
"5","18",1247
"5","19",1276
"5","20",1350
"5","21",1324
"5","22",1298
"5","23",1237
"5","24",1212
"5","25",1303
"5","26",1286
"5","27",1256
"5","28",1226
"5","29",1261
"5","30",1240
"5","31",1197
"6","01",1388
"6","02",1352
"6","03",1308
"6","04",1330
"6","05",1286
"6","06",1308
"6","07",1302
"6","08",1248
"6","09",1241
"6","10",1275
"6","11",1266
"6","12",1217
"6","13",1232
"6","14",1226
"6","15",1371
"6","16",1212
"6","17",1239
"6","18",1282
"6","19",1317
"6","20",1336
"6","21",1294
"6","22",1260
"6","23",1313
"6","24",1301
"6","25",1247
"6","26",1276
"6","27",1315
"6","28",1338
"6","29",1344
"6","30",1365
"7","01",1444
"7","02",1344
"7","03",1323
"7","04",1265
"7","05",1270
"7","06",1381
"7","07",1463
"7","08",1342
"7","09",1351
"7","10",1402
"7","11",1310
"7","12",1338
"7","13",1365
"7","14",1376
"7","15",1429
"7","16",1343
"7","17",1423
"7","18",1278
"7","19",1349
"7","20",1412
"7","21",1332
"7","22",1331
"7","23",1346
"7","24",1367
"7","25",1368
"7","26",1302
"7","27",1380
"7","28",1394
"7","29",1370
"7","30",1353
"7","31",1397
"8","01",1462
"8","02",1349
"8","03",1362
"8","04",1395
"8","05",1299
"8","06",1371
"8","07",1412
"8","08",1473
"8","09",1370
"8","10",1433
"8","11",1380
"8","12",1479
"8","13",1309
"8","14",1353
"8","15",1559
"8","16",1381
"8","17",1345
"8","18",1358
"8","19",1368
"8","20",1436
"8","21",1362
"8","22",1376
"8","23",1371
"8","24",1389
"8","25",1402
"8","26",1395
"8","27",1327
"8","28",1404
"8","29",1391
"8","30",1308
"8","31",1361
"9","01",1389
"9","02",1339
"9","03",1381
"9","04",1314
"9","05",1434
"9","06",1353
"9","07",1310
"9","08",1367
"9","09",1383
"9","10",1409
"9","11",1366
"9","12",1373
"9","13",1320
"9","14",1385
"9","15",1522
"9","16",1432
"9","17",1429
"9","18",1418
"9","19",1442
"9","20",1435
"9","21",1492
"9","22",1482
"9","23",1419
"9","24",1397
"9","25",1395
"9","26",1445
"9","27",1430
"9","28",1484
"9","29",1422
"9","30",1345
"10","01",1470
"10","02",1414
"10","03",1435
"10","04",1447
"10","05",1450
"10","06",1357
"10","07",1357
"10","08",1432
"10","09",1430
"10","10",1466
"10","11",1290
"10","12",1384
"10","13",1357
"10","14",1315
"10","15",1425
"10","16",1340
"10","17",1305
"10","18",1328
"10","19",1335
"10","20",1380
"10","21",1322
"10","22",1274
"10","23",1323
"10","24",1278
"10","25",1241
"10","26",1290
"10","27",1280
"10","28",1335
"10","29",1259
"10","30",1264
"10","31",1291
"11","01",1412
"11","02",1278
"11","03",1331
"11","04",1359
"11","05",1254
"11","06",1311
"11","07",1244
"11","08",1224
"11","09",1307
"11","10",1340
"11","11",1339
"11","12",1350
"11","13",1286
"11","14",1278
"11","15",1395
"11","16",1311
"11","17",1327
"11","18",1278
"11","19",1281
"11","20",1352
"11","21",1244
"11","22",1297
"11","23",1260
"11","24",1238
"11","25",1290
"11","26",1237
"11","27",1243
"11","28",1313
"11","29",1273
"11","30",1288
"12","01",1350
"12","02",1305
"12","03",1286
"12","04",1377
"12","05",1310
"12","06",1359
"12","07",1305
"12","08",1289
"12","09",1290
"12","10",1320
"12","11",1259
"12","12",1404
"12","13",1339
"12","14",1270
"12","15",1380
"12","16",1279
"12","17",1314
"12","18",1352
"12","19",1254
"12","20",1292
"12","21",1218
"12","22",1333
"12","23",1179
"12","24",1193
"12","25",1216
"12","26",1126
"12","27",1256
"12","28",1426
"12","29",1332
"12","30",1355
"12","31",1352
