# Vehicles' horsepower, weight, # of cylinders of the engine,
# displacement or volume, and mpg (miles per gallon)
# Missing data is shown with ? or - symbols 
"horsepower","weight","cylinders","displacement","mpg"
130,3504,8,307,18
165,3693,8,350,15
150,3436,8,318,18
150,3433,8,304,16
140,3449,8,302,17
198,4341,8,429,15
220,4354,8,454,14
215,4312,8,440,14
225,4425,8,455,14
190,3850,8,390,15
170,3563,8,383,15
160,3609,8,340,14
150,3761,8,400,15
225,3086,8,455,14
95,2372,4,113,24
95,2833,6,198,22
97,2774,6,199,18
85,2587,6,200,21
88,2130,4,97,27
46,1835,4,97,26
87,2672,4,110,25
90,2430,4,107,24
95,?,4,104,25
113,2234,4,121,26
90,2648,6,199,21
215,4615,8,360,10
200,4376,8,?,10
210,4382,8,318,11
193,4732,8,304,9
88,2130,4,97,27
90,2264,4,140,?
95,2228,4,113,25
100,2634,6,?,19
105,3439,6,225,16
100,3329,6,250,17
88,3302,6,250,19
100,?,6,232,18
165,4209,8,350,14
175,4464,-,400,14
?,4154,8,351,14
150,4096,8,318,14
180,4955,-,383,12
170,4746,8,400,13
175,5140,8,400,13
110,2962,6,258,18
72,2408,4,140,22
100,3282,6,250,19
88,3139,6,250,18
86,2220,4,122,23
90,2123,4,116,28
70,2074,4,79,30
76,2065,4,88,30
65,1773,4,71,31
69,1613,4,72,35
60,1834,4,97,27
70,1955,4,91,26
95,2278,4,113,24
80,2126,4,97.5,25
54,2254,4,97,23
90,2408,4,140,20
86,2226,4,122,21
165,4274,8,350,13
175,4385,8,400,14
150,4135,8,318,15
153,4129,8,351,14
150,3672,8,304,17
208,4633,8,429,11
155,4502,8,350,13
160,4456,8,350,12
190,4422,8,400,13
97,2330,3,70,19
150,3892,8,304,15
130,4098,8,307,13
140,4294,8,302,13
150,4077,8,318,14
112,2933,4,121,18
76,2511,4,121,22
87,2979,4,120,21
69,2189,4,96,26
86,2395,4,122,22
92,2288,4,97,28
97,2506,4,120,23
80,2164,4,98,28
88,2100,4,97,27
175,4100,8,350,13
150,3672,8,304,14
145,3988,8,350,13
137,4042,8,302,14
150,3777,8,318,15
198,4952,8,429,12
150,4464,8,400,13
158,4363,8,351,13
